EQPA5,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,6.92,235972.0,321
SOJA3,BOA SAFRA SEMENTES S.A.,15.86,4683654.0,319
NEOE3,NEOENERGIA,16.2,39071629.3,317
PRIO3,PETRO RIO,20.67,335564330.1,316
SGPS3,SPRINGS,4.91,470321.65,315
ABEV3,AMBEV,15.42,318471555.7,315
KEPL3,KEPLER WEBER,39.14,9881442.6,313
LJQQ3,LOJAS QUERO-QUERO S/A,11.19,23909235.45,313
SUZB3,SUZANO S.A.,60.11,315906225.65,311
FRAS3,FRAS-LE,13.93,2495012.85,311
TGMA3,TEGMA GESTÃO LOGÍSTICA,15.63,5205975.4,309
CRFB3,ATACADÃO,15.25,70005653.2,309
CAMB3,CAMBUCI,4.93,158698.5,308
ROMI3,INDÚSTRIAS ROMI,18.41,14700066.15,307
ESPA3,MPM CORPÓREOS S.A.,8.32,17511066.0,306
ENMT3,ENERGISA MATO GROSSO,81.0,153465.25,303
TPIS3,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,2.11,3015445.95,302
TRIS3,TRISUL,5.95,8553099.75,298
CTSA4,SANTANENSE,1.38,116705.3,297
DIRR3,DIRECIONAL ENGENHARIA,12.71,23881984.05,297
CSMG3,COPASA,12.71,31292379.6,296
ENGI11,ENERGISA,44.37,78823295.8,295
ENGI3,ENERGISA,13.67,152586.95,293
ENGI4,ENERGISA,7.67,334621.85,291
B3SA3,B3,11.14,399607254.35,288
CYRE3,CYRELA,15.78,109206738.6,286
TECN3,TECHNOS,2.32,3401524.8,283
EALT4,ELECTRO ACO ALTONA,7.6,252012.8,283
EMAE4,EMAE - EMPRESA METROP.AGUAS ENERGIA,75.99,453614.55,282
BLAU3,BLAU FARMACÊUTICA S.A.,36.4,16215307.35,282
TTEN3,TRÊS TENTOS AGROINDUSTRIAL SA,9.73,8112827.25,281
BRBI11,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,14.5,3908219.2,278
SMTO3,SÃO MARTINHO,34.44,44605335.95,278
LUXM4,TREVISA,81.99,193777.95,278
SULA11,SUL AMERICA,27.49,85241479.15,277
SULA4,SUL AMERICA,9.04,163685.15,275
LIGT3,LIGHT,11.75,37227214.7,275
JFEN3,JOÃO FORTES ENGENHARIA,0.96,220120.25,269
MYPK3,IOCHPE MAXION,15.35,23632625.15,268
PGMN3,EMPREENDIMENTOS PAGUE MENOS S.A.,9.35,7180985.8,266
CSAN3,COSAN,21.69,129722699.8,265
TUPY3,TUPY,19.95,11495482.15,264
VITT3,VITTIA FERTILIZANTES E BIOLOGICOS S.A.,14.42,1366575.0,264
OFSA3,OURO FINO SAÚDE ANIMAL,25.5,298630.65,263
VIVA3,VIVARA,25.44,24964362.25,263
CAML3,CAMIL,11.38,14941688.4,260
QUAL3,QUALICORP,16.9,43030040.65,260
TFCO4,TRACK & FIELD CO S.A.,12.96,2061899.8,258
INTB3,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,27.97,24422432.2,256
CSED3,CRUZEIRO DO SUL EDUCACIONAL S.A.,7.7,4827514.9,253
WEGE3,WEG,32.98,226841656.75,253
FLRY3,FLEURY,17.99,29171038.75,249
ARZZ3,AREZZO&CO,76.77,64687572.35,246
SBSP3,SABESP,40.18,103035950.75,243
KLBN11,KLABIN,25.66,129951568.7,237
VVEO3,CM HOSPITALAR S.A.,18.87,6831781.45,237
TEND3,CONSTRUTORA TENDA,16.71,18982330.2,235
KLBN3,KLABIN,5.63,607751.05,235
KLBN4,KLABIN,5.0,2124075.1,233
SIMH3,SIMPAR S.A.,11.68,24863520.3,232
MOVI3,MOVIDA,15.78,39375389.05,232
RADL3,RAIA DROGASIL,24.3,110854777.6,230
LOGN3,LOG-IN LOGÍSTICA INTERMODAL,23.6,16232752.3,228
LOGG3,LOG COMMERCIAL PROPERTIES,25.29,19797792.8,224
RENT3,LOCALIZA,53.0,512395801.4,224
PFRM3,PROFARMA,5.9,686384.15,220
